First_Name,Last_Name,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status 1,Sales Performance Status 2,Customer Handling Rating 2
Janet,Beasley,Customer Support,Support Specialist,6/29/2018,51681,,,,,4,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Chelsey,Williams,Marketing,SEO Specialist,12/09/2022,51693,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Samantha,Friedman,Customer Support,Call Center Agent,01/12/2019,65937,,,,,4,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Dawn,Webb,Marketing,Content Strategist,07/03/2018,64836,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jaime,Lambert,Customer Support,Support Specialist,1/17/2017,64965,,,,,1,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Stephanie,Bruce,HR,HR Coordinator,5/27/2022,59807,,,,,,,71,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Frank,House,Finance,Accountant,8/31/2022,97946,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Paul,Garcia,Sales,Sales Manager,11/06/2023,43041,51301,90808,0.065426435,3356.44,2,3,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Paula,Kelly,Sales,Sales Executive,02/05/2021,69056,97935,182097,0.045382881,4444.57,1,3,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Rebekah Fernandez,Md,Finance,Auditor,4/18/2022,103606,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Austin,Mckenzie,Customer Support,Support Specialist,09/01/2016,46238,,,,,2,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Steven,Sweeney,Finance,Financial Analyst,07/01/2021,97940,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Norton,HR,HR Manager,8/24/2023,75361,,,,,,,63,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Patrick,Miller,Customer Support,Support Specialist,9/27/2016,66924,,,,,4,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Lindsey Sanders,Dds,Operations,Operations Manager,02/03/2018,89506,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Raymond,Oconnell,Customer Support,Support Specialist,5/19/2016,53032,,,,,2,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Steven,Johnson,HR,HR Coordinator,12/01/2020,87903,,,,,,,90,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Gary,Gonzalez,Operations,Logistics Coordinator,11/30/2016,99425,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Brandon,Martin,IT,IT Support,11/24/2019,113176,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jennifer,Espinoza,IT,IT Support,9/29/2022,50161,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Daniel,Walker,Marketing,Marketing Analyst,1/26/2017,81301,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Spencer,Roman,Sales,Sales Manager,03/07/2018,79811,148582,137161,0.049704951,7385.26,2,6,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Robert,Guerra,Customer Support,Customer Service Rep,07/02/2016,45317,,,,,5,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Kimberly,Lee,IT,IT Support,06/10/2020,88925,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Velazquez,Finance,Accountant,8/25/2018,69597,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Sharon,Hughes,Operations,Operations Manager,08/10/2021,102183,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Nathan,Martin,Finance,Financial Analyst,5/18/2017,106050,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Terry,Willis,IT,Software Engineer,01/12/2023,96593,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Nathan,Campbell,HR,HR Coordinator,5/20/2015,47523,,,,,,,93,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Bryan,Wise,Customer Support,Call Center Agent,10/14/2016,40612,,,,,1,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Michael,Matthews,Finance,Accountant,07/03/2016,98378,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Mathew,King,Finance,Financial Analyst,10/03/2016,67846,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Mark,Rodriguez,Operations,Logistics Coordinator,9/15/2017,99560,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Mr. Andrew,Estrada,Operations,Procurement Specialist,07/08/2020,100206,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Michael,Jones,Operations,Procurement Specialist,11/09/2017,81164,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Danielle,Mckinney,Marketing,Marketing Analyst,6/22/2020,57584,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Andrea,Smith,Marketing,Content Strategist,05/11/2021,84493,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Tanya,Rodriguez,Marketing,Content Strategist,03/02/2022,70153,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Phyllis,Shaw,Operations,Operations Manager,9/16/2016,75245,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Amanda,Carter,Sales,Account Manager,6/28/2016,70927,171138,81058,0.030635138,5242.84,3,7,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Kelsey,Alvarez,Customer Support,Customer Service Rep,9/18/2023,67512,,,,,1,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Johnathan,Pierce,HR,HR Manager,04/09/2018,68611,,,,,,,99,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Brooke,Prince,Marketing,SEO Specialist,03/12/2017,73605,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Jackson,Operations,Operations Manager,11/27/2019,72637,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Randy,Smith,Finance,Financial Analyst,2/24/2021,71129,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Richard,Wilcox,Sales,Sales Manager,1/21/2020,82853,43608,130104,0.03622285,1579.61,4,3,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Jade,Scott,Finance,Auditor,2/23/2015,101226,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Morgan,Morrison,IT,Software Engineer,6/18/2020,72565,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Daniel,Cooper,IT,Data Analyst,9/22/2016,95576,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Casey,Strickland,Finance,Auditor,11/06/2021,102964,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Gloria,Atkinson,HR,HR Coordinator,11/03/2015,47867,,,,,,,82,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Amber,Riddle,HR,HR Coordinator,04/08/2023,84509,,,,,,,99,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Robert,Strickland,Marketing,Marketing Analyst,11/04/2017,60659,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Barbara,Baker,HR,HR Manager,10/28/2016,48745,,,,,,,81,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Mary,Johnson,Sales,Sales Executive,5/17/2016,42204,70155,50887,0.040270613,2825.18,1,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
John,Miller,Operations,Operations Manager,7/21/2018,71628,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Cory,Henry,Customer Support,Support Specialist,12/26/2023,55720,,,,,5,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Terry,Kennedy,HR,HR Coordinator,5/18/2021,59360,,,,,,,97,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Jimmy,Baker,IT,Data Analyst,5/31/2022,113395,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Heidi,Shepard,IT,Software Engineer,1/26/2015,75912,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Taylor,Li,Customer Support,Customer Service Rep,03/12/2019,53892,,,,,1,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jerry,Miller,Finance,Financial Analyst,5/28/2018,89703,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Anne,Bailey,Operations,Operations Manager,10/24/2018,94778,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Nicholas,Rogers,IT,Software Engineer,4/27/2021,91848,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kristina,Garcia,Finance,Auditor,02/01/2019,108262,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Mr. Jason,Wilcox,Finance,Accountant,12/14/2022,106656,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Alexandra,Murray,Finance,Auditor,9/27/2018,77753,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Roger,Vance,IT,Data Analyst,04/10/2018,105380,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Lori,Wagner,Finance,Financial Analyst,11/25/2017,87878,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Marissa,Chambers,Customer Support,Call Center Agent,9/25/2015,47117,,,,,3,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Christine,Johnson,IT,Software Engineer,4/27/2015,67882,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jeffrey,Fleming,Operations,Procurement Specialist,07/04/2018,54673,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Catherine,Lee,Marketing,Content Strategist,9/18/2015,84579,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Reginald,Sandoval,Finance,Auditor,5/22/2017,62045,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Daniel,Orr,Operations,Operations Manager,2/14/2021,104208,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Kaitlyn,Jones,Operations,Procurement Specialist,05/05/2018,70363,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jennifer,Kelly,Operations,Operations Manager,2/23/2020,56417,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Richard,Jarvis,IT,Data Analyst,4/15/2021,111112,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Diana,Anderson,Finance,Accountant,3/29/2022,83342,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jimmy,Moreno,IT,Software Engineer,08/07/2020,102416,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Flores,HR,HR Coordinator,08/02/2016,82926,,,,,,,92,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Katelyn,Odom,Marketing,Content Strategist,10/01/2015,79582,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Dawn,Bowen,Sales,Sales Executive,3/26/2019,60299,35359,117195,0.039802554,1407.38,1,4,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Jennifer,Frazier,Operations,Logistics Coordinator,12/19/2023,72366,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Benjamin,Nielsen,Marketing,SEO Specialist,6/20/2022,64954,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Isaac,Wright,Marketing,SEO Specialist,5/22/2023,83193,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Kenneth,Taylor,Finance,Accountant,08/03/2015,84843,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Dawn,Jordan,Marketing,SEO Specialist,4/18/2019,48257,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Haley,Oconnor,Customer Support,Call Center Agent,5/18/2018,64984,,,,,4,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Michael,Donaldson,Sales,Sales Manager,6/18/2016,44733,49623,124772,0.05470873,2714.81,5,6,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Pamela,Zavala,Sales,Account Manager,12/22/2015,85174,101408,163656,0.025581997,2594.22,4,2,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Christopher,Hayes,Finance,Financial Analyst,4/21/2022,100079,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Joseph,Rodgers,IT,Software Engineer,12/16/2020,117293,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Angela,Valdez,Customer Support,Call Center Agent,3/16/2016,35633,,,,,3,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Todd,West,Marketing,Marketing Analyst,8/20/2018,65118,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Anthony,Castaneda,IT,IT Support,02/05/2018,66570,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jesse Thomas,Md,Sales,Account Manager,8/14/2020,45756,56314,93907,0.030206765,1701.06,2,7,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Thomas,King,Customer Support,Customer Service Rep,07/12/2015,44263,,,,,4,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Cindy,Johnson,Finance,Auditor,09/08/2022,73615,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
James,Stewart,Marketing,Content Strategist,03/01/2022,64788,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Vincent,Brown,Finance,Accountant,10/19/2020,72148,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Donna,Cox,Finance,Financial Analyst,4/20/2018,96173,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Eric,Curtis,IT,IT Support,7/31/2022,85232,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Benjamin,Gross,IT,Data Analyst,7/23/2023,109524,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Joseph,Lopez,IT,IT Support,7/28/2020,87894,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Williams,Customer Support,Support Specialist,9/15/2017,42788,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Todd,Cruz,Marketing,Content Strategist,7/30/2017,48695,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Andrea,Hardy,HR,HR Coordinator,4/19/2021,73890,,,,,,,67,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Frank,Hernandez,Marketing,Marketing Analyst,1/29/2019,45514,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Moses,Sales,Sales Executive,6/18/2019,82016,116651,179528,0.049686361,5795.96,2,5,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Allison,Hodges,HR,Recruiter,04/01/2023,65059,,,,,,,94,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Raymond,Nichols,Sales,Sales Executive,06/11/2018,44883,99965,135572,0.036782263,3676.94,4,8,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Angela,Wilkinson,Finance,Financial Analyst,08/04/2020,63292,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Mallory,Cabrera,Marketing,Marketing Analyst,07/09/2017,46022,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Patricia,Castro,Marketing,Marketing Analyst,6/25/2020,58966,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Kevin,Moody,Marketing,Marketing Analyst,6/15/2017,53172,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Mitchell,Operations,Logistics Coordinator,1/19/2023,86695,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Dana,Gilbert,Customer Support,Call Center Agent,5/25/2017,69913,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Dr. Leslie,Francis,Customer Support,Customer Service Rep,04/10/2015,56335,,,,,2,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Laurie,Smith,HR,Recruiter,4/23/2018,81861,,,,,,,78,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Cindy,Martinez,IT,Data Analyst,10/15/2020,87276,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Rebecca,Mills,HR,HR Coordinator,03/03/2016,92754,,,,,,,62,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Julie,Valdez,Operations,Procurement Specialist,8/25/2019,87959,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Tasha,Miller,Sales,Sales Executive,05/02/2015,44737,93563,66083,0.05071075,4744.65,3,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Richard,Scott,Sales,Account Manager,03/08/2022,41284,235863,61871,0.043341822,10222.73,3,0,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Felicia,Whitaker,HR,HR Coordinator,11/27/2022,71341,,,,,,,80,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Margaret,Johnson,Finance,Financial Analyst,2/27/2018,88767,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Carolyn,Pittman,Marketing,SEO Specialist,1/28/2021,70992,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Laura,Johnson,Sales,Sales Manager,9/27/2016,57034,181180,87943,0.066122643,11980.1,1,1,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Jessica,Martinez,Customer Support,Support Specialist,3/15/2018,64434,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Garcia,IT,Software Engineer,01/11/2015,55399,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kathryn,Williamson,Customer Support,Customer Service Rep,1/24/2021,51807,,,,,1,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Lori,Williams,Customer Support,Call Center Agent,4/23/2023,40621,,,,,4,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Charles Mcfarland,Jr.,Sales,Sales Manager,10/14/2021,81257,149783,150789,0.043916095,6577.88,5,4,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Joshua,Richardson,Operations,Logistics Coordinator,2/23/2017,75960,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Gina,Pearson,Finance,Financial Analyst,4/16/2018,94123,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Ryan,Mendez,Customer Support,Support Specialist,2/26/2023,35951,,,,,2,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Keith White,Dds,IT,Data Analyst,11/23/2020,65324,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kathleen Hall,Dds,IT,Software Engineer,8/31/2020,82296,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Tasha,Mclean,Finance,Financial Analyst,1/17/2018,91514,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Shawn,Taylor,Finance,Accountant,3/24/2020,99061,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Alan,Sanchez,Operations,Operations Manager,12/04/2015,98748,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Olivia,Harrington,Operations,Operations Manager,11/14/2016,73333,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Hayes,Finance,Auditor,09/10/2018,83267,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jeffrey,Cox,Sales,Sales Manager,3/29/2017,54116,249415,116355,0.044459474,11088.86,2,1,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Wayne,Watson,Marketing,Marketing Analyst,2/24/2015,54018,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Bailey,Finance,Auditor,11/26/2016,97348,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Donald,Ball,Operations,Logistics Coordinator,9/13/2019,103027,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jennifer,Gonzalez,Operations,Operations Manager,8/31/2019,73453,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Eric,Parsons,Finance,Auditor,6/18/2021,82691,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Patricia,Watson,IT,Data Analyst,4/22/2019,71284,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Scott,Figueroa,Customer Support,Support Specialist,6/20/2017,44406,,,,,1,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Scott,Lee,IT,Data Analyst,05/01/2022,50016,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Michelle,Floyd,Customer Support,Support Specialist,10/02/2019,63696,,,,,2,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Mr. Joseph Warren,V,Marketing,Content Strategist,08/01/2021,50982,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Tiffany,Smith,Finance,Accountant,9/17/2022,85766,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Sara,Hardy,Marketing,Content Strategist,10/14/2019,76627,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jacob,Richard,Marketing,Marketing Analyst,11/12/2018,60747,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Linda,Bradley,Marketing,SEO Specialist,7/16/2018,55313,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Michael,Jones,Customer Support,Support Specialist,2/26/2017,57987,,,,,4,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Teresa,Brock,Marketing,SEO Specialist,10/29/2021,66363,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Kenneth,Banks,Operations,Logistics Coordinator,11/23/2020,79018,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jose,Miller,IT,IT Support,5/29/2018,59021,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kathleen,Chan,Sales,Sales Executive,6/16/2017,69891,156308,146865,0.064659729,10106.83,2,8,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Christian,Conley,Customer Support,Support Specialist,11/19/2016,35474,,,,,4,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Bryant,Sales,Account Manager,07/01/2019,80694,155079,146960,0.057245641,8877.6,4,1,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Stephanie,Martin,Finance,Accountant,8/28/2019,93346,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
James,Lyons,Customer Support,Support Specialist,01/08/2015,62801,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Corey,Smith,Finance,Financial Analyst,6/23/2023,108302,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jason,Barrett,Operations,Procurement Specialist,12/21/2023,62693,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Christina,Thompson,Customer Support,Call Center Agent,2/17/2017,65243,,,,,2,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Dana,Barnes,IT,Software Engineer,01/02/2016,96942,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Ian,Brooks,IT,Software Engineer,05/10/2021,90228,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brian,Howell,Operations,Operations Manager,06/05/2017,89402,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Theresa,Baldwin,Customer Support,Call Center Agent,12/05/2015,36400,,,,,3,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Patricia,Johnson,Operations,Procurement Specialist,5/23/2015,63233,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Whitney,Poole,HR,HR Manager,04/03/2019,56076,,,,,,,95,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Justin,Lee,Sales,Sales Executive,7/31/2021,77953,207476,125967,0.055235021,11459.94,5,6,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Sarah,Nolan,Marketing,SEO Specialist,7/27/2016,80963,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Kidd,IT,Data Analyst,1/29/2021,90010,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jerome,Harrington,Finance,Accountant,12/29/2016,75724,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Deborah,Weeks,Finance,Auditor,2/19/2020,73325,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
John,Matthews,HR,HR Manager,11/10/2017,77710,,,,,,,61,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Hailey,Woods,Marketing,Marketing Analyst,9/30/2021,63017,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
David,Daniels,Sales,Account Manager,06/06/2023,74915,174228,193190,0.041739905,7272.26,4,1,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Lindsay,King,Customer Support,Customer Service Rep,01/01/2017,61608,,,,,3,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Zachary Martin,Ii,Customer Support,Call Center Agent,3/23/2019,46134,,,,,4,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
April,Sanders,Customer Support,Customer Service Rep,10/07/2022,58758,,,,,4,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Keith,Bartlett,Marketing,Content Strategist,09/08/2022,61950,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jeffrey,Cook,Customer Support,Support Specialist,9/20/2023,55865,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Dr. Amy Smith,Dds,Finance,Financial Analyst,03/05/2023,56461,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Sharon,Barnes,Customer Support,Call Center Agent,05/10/2021,63631,,,,,5,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
